# Generated with codec_test.py (time: 184min)

Tool versions:
+ mencoder 2:1.0~rc2-0ubuntu13
+ mkvmerge v2.0.2
+ mp4creator 1.6
+ mplayer 1.0rc2-4.2.3
+ ogmmerge v1.5
+ undvd 0.5.1

+------------+------------+------------+------------+
| container  | vcodec     | acodec     | status     |
| flv        | h264       | ac3        | failed     |
| flv        | h264       | flac       | failed     |
| flv        | h264       | mp2        | failed     |
| flv        | h264       | mp3        | failed     |
| flv        | h264       | sonic      | failed     |
| flv        | h264       | sonicls    | failed     |
| flv        | h264       | vorbis     | failed     |
| flv        | h264       | wmav1      | failed     |
| flv        | h264       | wmav2      | failed     |
| flv        | mpeg1video | aac        | failed     |
| flv        | mpeg1video | ac3        | failed     |
| flv        | mpeg1video | flac       | failed     |
| flv        | mpeg1video | mp2        | failed     |
| flv        | mpeg1video | mp3        | failed     |
| flv        | mpeg1video | sonic      | failed     |
| flv        | mpeg1video | sonicls    | failed     |
| flv        | mpeg1video | vorbis     | failed     |
| flv        | mpeg1video | wmav1      | failed     |
| flv        | mpeg1video | wmav2      | failed     |
| flv        | mpeg2video | aac        | failed     |
| flv        | mpeg2video | ac3        | failed     |
| flv        | mpeg2video | flac       | failed     |
| flv        | mpeg2video | mp2        | failed     |
| flv        | mpeg2video | mp3        | failed     |
| flv        | mpeg2video | sonic      | failed     |
| flv        | mpeg2video | sonicls    | failed     |
| flv        | mpeg2video | vorbis     | failed     |
| flv        | mpeg2video | wmav1      | failed     |
| flv        | mpeg2video | wmav2      | failed     |
| flv        | mpeg4      | aac        | failed     |
| flv        | mpeg4      | ac3        | failed     |
| flv        | mpeg4      | flac       | failed     |
| flv        | mpeg4      | mp2        | failed     |
| flv        | mpeg4      | mp3        | failed     |
| flv        | mpeg4      | sonic      | failed     |
| flv        | mpeg4      | sonicls    | failed     |
| flv        | mpeg4      | vorbis     | failed     |
| flv        | mpeg4      | wmav1      | failed     |
| flv        | mpeg4      | wmav2      | failed     |
| flv        | msmpeg4    | aac        | failed     |
| flv        | msmpeg4    | ac3        | failed     |
| flv        | msmpeg4    | flac       | failed     |
| flv        | msmpeg4    | mp2        | failed     |
| flv        | msmpeg4    | mp3        | failed     |
| flv        | msmpeg4    | sonic      | failed     |
| flv        | msmpeg4    | sonicls    | failed     |
| flv        | msmpeg4    | vorbis     | failed     |
| flv        | msmpeg4    | wmav1      | failed     |
| flv        | msmpeg4    | wmav2      | failed     |
| flv        | msmpeg4v2  | aac        | failed     |
| flv        | msmpeg4v2  | ac3        | failed     |
| flv        | msmpeg4v2  | flac       | failed     |
| flv        | msmpeg4v2  | mp2        | failed     |
| flv        | msmpeg4v2  | mp3        | failed     |
